Designator,Footprint,Quantity,Value,LCSC Part #
AC1,LGA-14L_L3.0-W2.5-P0.50-TL,1,LSM6DSOXTR,
"C10, C33, C5, C6",C_0603,4,22uF,C59461
"C11, C12, C21, C29, C30, C9",C_0603,6,100nF,C14663
"C13, C17, C18, C19, C20",C_0603,5,1uF,C15849
"C14, C15, C32, C8",C_0603,4,10uF,C96446
"C16, C23, C24, C25, C26, C31",C_0603,6,2.2uF,C23630
"C22, C27",C_0603,2,10nF,C57112
"C28, C7",C_0603,2,22nF,C21122
"C34, C35",C_0603,2,100nF,
C4,C_0402,1,220pF,C1530
D2,D_0603,1,Red,C2286
"D3, D4",D_SOD-323,2,1N5819WS,C191023
F1,F1206,1,BHFUSE BSMD1206C-1700T,C41367230
J1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Connector,C99101
"J10, J6, J7, J9",JST_B2B-PH-K-S,4,Screw_Terminal_01x02,C131337
J12,CONN-TH_B5B-PH-K-S-LF-SN,1,B5B-PH-K-S-(LF)(SN),C157993
J3,JST_B3B-PH-K-S,1,Conn_01x03,C131339
J5,HDR-TH_2P-P1.27-V-M,1,Conn_01x02_Pin,C5243682
J8,FPC-SMD_AFC07-S24ECA-00,1,Conn_01x24_Socket,C262643
L1,IND-SMD_L6.0-W6.0,1,6.8uH,C341066
Q3,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
Q4,Q_SOT-23,1,AO3400A,C20917
"R1, R10, R12, R13, R2, R21, R22, R25, R26, R9",R_0603,10,10kΩ,C25804
"R11, R14, R15, R16, R17, R19, R20, R23, R24, R3",R_0603,10,4.7kΩ,C23162
"R18, R4",R_0402,2,200Ω,C25087
"R27, R30, R33",R_0603,3,5.1kΩ,C23186
R31,R_0603,1,33kΩ,C4216
R32,R_0603,1,18kΩ,C25810
R5,R_0402,1,100kΩ,C25741
R6,R_0402,1,22kΩ,C25768
"R7, R8",R_0603,2,10K,
TP1,CONN-SMD_L3.2-1.6,1,TP_GND,C159866
"TP2, TP3, TP4",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,3,TestPoint_2Pole,
TP5,CONN-SMD_L3.2-1.6,1,TP_EN,C159866
U1,HDR-TH_4P-P1.27-V-M-R2-C2-S1.27_MH127V-12-04-0820,1,PZ127-2-02-Z,C5372806
U12,SOT-23-3,1,XC6206P282MR,C14255
U13,SOT-23-3,1,XC6206P122MR,C2827649
U14,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,SY8113IADC,C479075 
"U4, U5",HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,2,DRV8874PWPR,C1855818
U9,ESP32-S3-WROOM-1_EXP,1,ESP32-S3-WROOM-1-N16R8,C2913202
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
