Designator,Mid X,Mid Y,Rotation,Layer
AC1,64.6,-66.2,0.0,top
C10,93.4,-69.0,270.0,top
C11,102.4,-85.6,90.0,top
C12,91.2,-81.8,180.0,top
C13,66.8,-59.62,90.0,top
C14,100.4,-74.8,270.0,top
C15,91.2,-83.2,180.0,top
C16,86.2,-93.02,270.0,top
C17,79.9375,-96.35,90.0,top
C18,94.1375,-96.55,90.0,top
C19,87.9375,-96.55,270.0,top
C20,86.1375,-96.55,90.0,top
C21,94.8875,-71.82,270.0,top
C22,86.2,-79.4,90.0,top
C23,77.4,-92.4,180.0,top
C24,78.2,-96.2,90.0,top
C25,77.4,-94.2,180.0,top
C26,83.0,-93.02,270.0,top
C27,92.6,-58.6,180.0,top
C28,86.6,-81.9,0.0,top
C29,91.2,-80.2,0.0,top
C30,91.2,-84.8,180.0,top
C31,84.6,-93.02,270.0,top
C32,91.8,-77.4,270.0,top
C33,93.2,-62.32,270.0,top
C34,64.8,-68.6,180.0,top
C35,69.4,-59.6,90.0,top
C4,96.98,-74.92,180.0,top
C5,99.4,-58.32,0.0,top
C6,99.4,-59.92,0.0,top
C7,90.4,-88.8,90.0,top
C8,98.98,-74.72,90.0,top
C9,91.22,-86.4,0.0,top
D2,101.5,-63.4,90.0,top
D3,60.925,-94.2,0.0,top
D4,60.925,-91.8,0.0,top
F1,109.7,-93.9,90.0,top
J1,102.55,-93.2,0.0,top
J10,60.4,-59.6,90.0,top
J12,55.2,-69.0,270.0,top
J3,110.35,-61.0,90.0,top
J5,109.5,-78.63,90.0,top
J6,106.15,-76.8,90.0,top
J7,106.15,-70.2,90.0,top
J8,80.58,-88.3275,180.0,top
J9,104.2,-60.0,270.0,top
L1,97.4,-65.42,270.0,top
Q3,93.6,-91.8,270.0,top
Q4,95.8,-59.46,270.0,top
R1,90.4,-92.2,0.0,top
R10,63.4,-61.4,90.0,top
R11,105.75,-64.0,180.0,top
R12,65.2,-61.4,90.0,top
R13,91.8,-69.0,270.0,top
R14,84.55,-79.38,270.0,top
R15,82.6,-79.4,270.0,top
R16,105.0,-86.4,180.0,top
R17,105.0,-84.15,180.0,top
R18,101.35,-57.8,90.0,top
R19,92.6,-60.0,0.0,top
R2,69.6,-85.3,180.0,top
R20,91.8,-62.2,270.0,top
R21,66.8,-62.6,270.0,top
R22,95.5375,-96.55,90.0,top
R23,93.2,-65.6,270.0,top
R25,88.6,-78.6,180.0,top
R26,69.2,-82.2,90.0,top
R27,91.8,-74.38,90.0,top
R30,64.4,-85.98,90.0,top
R31,69.6,-88.0,0.0,top
R32,69.6,-89.8,180.0,top
R33,66.9,-85.98,270.0,top
R4,100.2,-61.12,0.0,top
R5,95.38,-74.32,90.0,top
R6,96.98,-73.82,0.0,top
R7,107.8,-66.0,180.0,top
R8,91.8,-65.6,270.0,top
R9,103.2,-64.8,90.0,top
TP1,65.2,-81.0,270.0,top
TP5,65.2,-73.2,270.0,top
U1,54.97,-77.1825,0.0,top
U12,83.1375,-96.55,180.0,top
U13,91.1375,-96.55,180.0,top
U14,97.8875,-71.62,90.0,top
U4,97.13,-86.98,0.0,top
U5,97.13,-80.975,0.0,top
U9,80.565,-63.8,0.0,top
USB1,68.0,-96.5175,0.0,top
